Week,USDC: (Worldwide)
2016-10-23,14
2016-10-30,11
2016-11-06,10
2016-11-13,15
2016-11-20,5
2016-11-27,10
2016-12-04,6
2016-12-11,8
2016-12-18,8
2016-12-25,8
2017-01-01,10
2017-01-08,10
2017-01-15,9
2017-01-22,14
2017-01-29,12
2017-02-05,18
2017-02-12,11
2017-02-19,5
2017-02-26,19
2017-03-05,11
2017-03-12,13
2017-03-19,10
2017-03-26,7
2017-04-02,11
2017-04-09,12
2017-04-16,11
2017-04-23,5
2017-04-30,15
2017-05-07,9
2017-05-14,10
2017-05-21,8
2017-05-28,10
2017-06-04,9
2017-06-11,9
2017-06-18,9
2017-06-25,11
2017-07-02,7
2017-07-09,12
2017-07-16,7
2017-07-23,12
2017-07-30,16
2017-08-06,19
2017-08-13,9
2017-08-20,9
2017-08-27,8
2017-09-03,17
2017-09-10,6
2017-09-17,8
2017-09-24,13
2017-10-01,10
2017-10-08,9
2017-10-15,6
2017-10-22,9
2017-10-29,10
2017-11-05,10
2017-11-12,12
2017-11-19,7
2017-11-26,8
2017-12-03,13
2017-12-10,15
2017-12-17,10
2017-12-24,8
2017-12-31,11
2018-01-07,7
2018-01-14,9
2018-01-21,11
2018-01-28,11
2018-02-04,10
2018-02-11,11
2018-02-18,9
2018-02-25,8
2018-03-04,10
2018-03-11,10
2018-03-18,8
2018-03-25,7
2018-04-01,11
2018-04-08,13
2018-04-15,10
2018-04-22,11
2018-04-29,10
2018-05-06,12
2018-05-13,12
2018-05-20,17
2018-05-27,11
2018-06-03,7
2018-06-10,14
2018-06-17,9
2018-06-24,7
2018-07-01,9
2018-07-08,12
2018-07-15,19
2018-07-22,14
2018-07-29,9
2018-08-05,10
2018-08-12,12
2018-08-19,11
2018-08-26,12
2018-09-02,18
2018-09-09,9
2018-09-16,13
2018-09-23,16
2018-09-30,12
2018-10-07,13
2018-10-14,13
2018-10-21,35
2018-10-28,13
2018-11-04,19
2018-11-11,19
2018-11-18,12
2018-11-25,19
2018-12-02,17
2018-12-09,19
2018-12-16,26
2018-12-23,10
2018-12-30,16
2019-01-06,16
2019-01-13,14
2019-01-20,15
2019-01-27,16
2019-02-03,16
2019-02-10,18
2019-02-17,16
2019-02-24,17
2019-03-03,18
2019-03-10,14
2019-03-17,16
2019-03-24,19
2019-03-31,22
2019-04-07,16
2019-04-14,12
2019-04-21,14
2019-04-28,14
2019-05-05,23
2019-05-12,22
2019-05-19,15
2019-05-26,15
2019-06-02,19
2019-06-09,23
2019-06-16,21
2019-06-23,22
2019-06-30,14
2019-07-07,21
2019-07-14,13
2019-07-21,13
2019-07-28,12
2019-08-04,16
2019-08-11,18
2019-08-18,23
2019-08-25,12
2019-09-01,24
2019-09-08,20
2019-09-15,14
2019-09-22,14
2019-09-29,15
2019-10-06,17
2019-10-13,19
2019-10-20,14
2019-10-27,20
2019-11-03,16
2019-11-10,11
2019-11-17,14
2019-11-24,12
2019-12-01,18
2019-12-08,13
2019-12-15,11
2019-12-22,8
2019-12-29,9
2020-01-05,17
2020-01-12,10
2020-01-19,13
2020-01-26,14
2020-02-02,16
2020-02-09,19
2020-02-16,16
2020-02-23,15
2020-03-01,17
2020-03-08,20
2020-03-15,18
2020-03-22,12
2020-03-29,15
2020-04-05,17
2020-04-12,19
2020-04-19,14
2020-04-26,20
2020-05-03,21
2020-05-10,17
2020-05-17,16
2020-05-24,24
2020-05-31,15
2020-06-07,25
2020-06-14,15
2020-06-21,20
2020-06-28,16
2020-07-05,18
2020-07-12,15
2020-07-19,19
2020-07-26,28
2020-08-02,22
2020-08-09,22
2020-08-16,20
2020-08-23,16
2020-08-30,21
2020-09-06,29
2020-09-13,20
2020-09-20,21
2020-09-27,16
2020-10-04,19
2020-10-11,18
2020-10-18,17
2020-10-25,17
2020-11-01,19
2020-11-08,17
2020-11-15,18
2020-11-22,25
2020-11-29,23
2020-12-06,21
2020-12-13,26
2020-12-20,21
2020-12-27,32
2021-01-03,50
2021-01-10,55
2021-01-17,35
2021-01-24,35
2021-01-31,64
2021-02-07,75
2021-02-14,63
2021-02-21,59
2021-02-28,37
2021-03-07,57
2021-03-14,52
2021-03-21,54
2021-03-28,81
2021-04-04,65
2021-04-11,86
2021-04-18,79
2021-04-25,61
2021-05-02,75
2021-05-09,100
2021-05-16,69
2021-05-23,74
2021-05-30,57
2021-06-06,51
2021-06-13,72
2021-06-20,40
2021-06-27,51
2021-07-04,48
2021-07-11,40
2021-07-18,50
2021-07-25,46
2021-08-01,44
2021-08-08,67
2021-08-15,51
2021-08-22,57
2021-08-29,50
2021-09-05,58
2021-09-12,62
2021-09-19,57
2021-09-26,47
2021-10-03,66
2021-10-10,67
